dep,topic,topic_mots,coherence_lda_c_v,coherence_lda_u_mass,coherence_lda_c_uci,coherence_lda_c_npmi
FR-31,"(0, '0.009*""aides"" + 0.006*""impôts"" + 0.005*""revenus"" + 0.005*""conditions"" + 0.005*""sociales"" + 0.005*""revenu"" + 0.004*""d\'attribution"" + 0.004*""dépenses"" + 0.004*""faire"" + 0.004*""doit""')","['aides', 'impôts', 'revenus', 'conditions', 'sociales', 'revenu', 'd', 'attribution', 'dépenses', 'faire', 'doit']",0.3800480833314063,1.0000889005818406e-12,-0.010059949197366759,0.020998391289048592
FR-34,"(0, '0.008*""aides"" + 0.005*""impôts"" + 0.005*""revenus"" + 0.005*""conditions"" + 0.005*""sociales"" + 0.004*""revenu"" + 0.004*""d\'attribution"" + 0.004*""dépenses"" + 0.004*""faire"" + 0.003*""travail""')","['aides', 'impôts', 'revenus', 'conditions', 'sociales', 'revenu', 'd', 'attribution', 'dépenses', 'faire', 'travail']",0.3750718071124547,1.0000889005818406e-12,-0.06672107686764299,0.008052382204079318
FR-30,"(0, '0.008*""aides"" + 0.005*""impôts"" + 0.005*""conditions"" + 0.005*""revenus"" + 0.005*""sociales"" + 0.004*""d\'attribution"" + 0.004*""revenu"" + 0.004*""faire"" + 0.004*""dépenses"" + 0.003*""personnes""')","['aides', 'impôts', 'conditions', 'revenus', 'sociales', 'd', 'attribution', 'revenu', 'faire', 'dépenses', 'personnes']",0.41347894449542383,1.0000889005818406e-12,-0.03142830897947119,0.020283892594255937
FR-66,"(0, '0.008*""aides"" + 0.005*""sociales"" + 0.005*""impôts"" + 0.005*""conditions"" + 0.004*""d\'attribution"" + 0.004*""revenus"" + 0.004*""retraités"" + 0.004*""revenu"" + 0.003*""dépenses"" + 0.003*""faire""')","['aides', 'sociales', 'impôts', 'conditions', 'd', 'attribution', 'revenus', 'retraités', 'revenu', 'dépenses', 'faire']",0.3894211454698075,1.0000889005818406e-12,-0.18058650919814312,-0.0008247860890937554
FR-81,"(0, '0.008*""aides"" + 0.005*""impôts"" + 0.004*""revenus"" + 0.004*""conditions"" + 0.004*""sociales"" + 0.004*""d\'attribution"" + 0.004*""revenu"" + 0.004*""faire"" + 0.003*""personnes"" + 0.003*""TVA""')","['aides', 'impôts', 'revenus', 'conditions', 'sociales', 'd', 'attribution', 'revenu', 'faire', 'personnes', 'TVA']",0.40243876901295933,1.0000889005818406e-12,0.001013204255964302,0.024547261290879547
FR-11,"(0, '0.008*""aides"" + 0.005*""impôts"" + 0.005*""sociales"" + 0.005*""conditions"" + 0.004*""revenus"" + 0.004*""d\'attribution"" + 0.004*""revenu"" + 0.004*""dépenses"" + 0.003*""payer"" + 0.003*""faire""')","['aides', 'impôts', 'sociales', 'conditions', 'revenus', 'd', 'attribution', 'revenu', 'dépenses', 'payer', 'faire']",0.39262814860764783,1.0000889005818406e-12,-0.03263191218272785,0.022356633149756697
FR-12,"(0, '0.007*""aides"" + 0.005*""impôts"" + 0.004*""conditions"" + 0.004*""revenus"" + 0.004*""sociales"" + 0.004*""d\'attribution"" + 0.004*""revenu"" + 0.003*""dépenses"" + 0.003*""faire"" + 0.003*""travail""')","['aides', 'impôts', 'conditions', 'revenus', 'sociales', 'd', 'attribution', 'revenu', 'dépenses', 'faire', 'travail']",0.43623996592439074,1.0000889005818406e-12,-0.030893929300896638,0.021694768831506343
FR-82,"(0, '0.008*""aides"" + 0.005*""impôts"" + 0.005*""conditions"" + 0.005*""revenus"" + 0.005*""sociales"" + 0.004*""d\'attribution"" + 0.004*""revenu"" + 0.004*""dépenses"" + 0.004*""faire"" + 0.003*""travail""')","['aides', 'impôts', 'conditions', 'revenus', 'sociales', 'd', 'attribution', 'revenu', 'dépenses', 'faire', 'travail']",0.41767649574732746,1.0000889005818406e-12,-0.06674815810557153,0.01867328989410796
FR-46,"(0, '0.007*""aides"" + 0.005*""impôts"" + 0.004*""sociales"" + 0.004*""revenus"" + 0.004*""conditions"" + 0.004*""d\'attribution"" + 0.004*""revenu"" + 0.003*""faire"" + 0.003*""entreprises"" + 0.003*""dépenses""')","['aides', 'impôts', 'sociales', 'revenus', 'conditions', 'd', 'attribution', 'revenu', 'faire', 'entreprises', 'dépenses']",0.40096768108319525,1.0000889005818406e-12,-0.1293293108429667,0.005602440496153714
FR-65,"(0, '0.007*""aides"" + 0.005*""impôts"" + 0.004*""revenus"" + 0.004*""conditions"" + 0.004*""sociales"" + 0.004*""revenu"" + 0.003*""d\'attribution"" + 0.003*""dépenses"" + 0.003*""faire"" + 0.003*""personnes""')","['aides', 'impôts', 'revenus', 'conditions', 'sociales', 'revenu', 'd', 'attribution', 'dépenses', 'faire', 'personnes']",0.4057887307107205,1.0000889005818406e-12,-0.11371876321123568,0.0062931371831227816
FR-32,"(0, '0.007*""aides"" + 0.005*""impôts"" + 0.005*""revenus"" + 0.004*""conditions"" + 0.004*""revenu"" + 0.004*""d\'attribution"" + 0.004*""sociales"" + 0.004*""faire"" + 0.003*""dépenses"" + 0.003*""travail""')","['aides', 'impôts', 'revenus', 'conditions', 'revenu', 'd', 'attribution', 'sociales', 'faire', 'dépenses', 'travail']",0.3754766809521818,1.0000889005818406e-12,-0.03711835449271334,0.01954069042258474
FR-09,"(0, '0.007*""aides"" + 0.005*""revenu"" + 0.005*""impôts"" + 0.004*""revenus"" + 0.004*""conditions"" + 0.004*""impôt"" + 0.004*""sociales"" + 0.004*""d\'attribution"" + 0.003*""produits"" + 0.003*""TVA""')","['aides', 'revenu', 'impôts', 'revenus', 'conditions', 'impôt', 'sociales', 'd', 'attribution', 'produits', 'TVA']",0.3985717238912855,1.0000889005818406e-12,-0.11509390766677073,0.009776395364009207
FR-48,"(0, '0.007*""aides"" + 0.005*""impôts"" + 0.005*""revenus"" + 0.005*""revenu"" + 0.004*""sociales"" + 0.004*""personnes"" + 0.004*""conditions"" + 0.004*""TVA"" + 0.004*""d\'attribution"" + 0.003*""produits""')","['aides', 'impôts', 'revenus', 'revenu', 'sociales', 'personnes', 'conditions', 'TVA', 'd', 'attribution', 'produits']",0.3504834990167664,1.0000889005818406e-12,-0.5801956768758282,-0.0056837958936963974
